,job_title,experience_level,company_size,company_location,employment_type,remote_ratio,years_experience,salary_usd
0,AI Engineer,Mid,Medium,UK,Full-time,50,9.0,98156.0
1,Business Intelligence Analyst,Mid,Small,UK,Full-time,50,10.0,94402.0
2,Data Analyst,Senior,Small,USA,Full-time,0,7.0,125787.0
3,Business Intelligence Analyst,Senior,Medium,Canada,Full-time,0,12.0,154662.0
4,Business Intelligence Analyst,Mid,Large,Canada,Part-time,50,4.0,79811.0
5,Machine Learning Engineer,Entry,Medium,India,Full-time,0,3.0,30912.0
6,Data Analyst,Entry,Small,India,Contract,50,12.0,70394.0
7,Data Analyst,Entry,Large,Australia,Contract,0,8.0,64635.0
8,Data Analyst,Mid,Small,Australia,Full-time,0,8.0,83597.0
9,Business Intelligence Analyst,Mid,Large,India,Contract,100,0.0,50524.0
10,AI Engineer,Mid,Small,Australia,Full-time,50,1.0,45329.0
11,Data Analyst,Mid,Large,Germany,Contract,100,7.0,92156.0
12,Data Engineer,Entry,Large,India,Contract,100,4.0,88269.0
13,Business Intelligence Analyst,Mid,Small,Canada,Full-time,50,6.0,88171.0
14,Machine Learning Engineer,Entry,Large,Germany,Full-time,50,0.0,19815.0
15,AI Engineer,Mid,Medium,Australia,Part-time,0,11.0,88269.0
16,Data Engineer,Entry,Small,UK,Full-time,50,9.0,56848.0
17,Data Engineer,Senior,Medium,India,Full-time,100,11.0,136561.0
18,Machine Learning Engineer,Entry,Small,India,Part-time,100,4.0,30773.0
19,AI Engineer,Executive,Large,UK,Full-time,50,10.0,177311.0
20,Business Intelligence Analyst,Mid,Large,Australia,Full-time,100,11.0,110203.0
21,Data Scientist,Senior,Large,Canada,Part-time,0,7.0,108187.0
22,AI Engineer,Mid,Small,India,Full-time,100,7.0,94290.0
23,Machine Learning Engineer,Senior,Medium,UK,Full-time,0,11.0,88269.0
24,Data Engineer,Senior,Medium,USA,Part-time,100,11.0,152131.0
25,Business Intelligence Analyst,Mid,Small,India,Part-time,0,13.0,108973.0
26,AI Engineer,Mid,Small,Australia,Contract,0,1.0,46615.0
27,Data Scientist,Mid,Medium,India,Full-time,50,1.0,59550.0
28,Data Scientist,Mid,Medium,Australia,Contract,0,8.0,90494.0
29,Data Analyst,Entry,Medium,USA,Contract,50,12.0,75506.0
30,Data Analyst,Mid,Medium,UK,Part-time,100,3.0,68054.0
31,Machine Learning Engineer,Mid,Small,India,Full-time,100,3.0,68861.0
32,AI Engineer,Mid,Small,India,Full-time,100,6.0,81587.0
33,AI Engineer,Senior,Large,Australia,Part-time,0,9.0,138515.0
34,Data Engineer,Mid,Medium,UK,Contract,100,9.0,90854.0
35,Data Engineer,Executive,Large,UK,Part-time,100,12.0,196600.0
36,Data Engineer,Entry,Small,USA,Full-time,50,7.0,32743.0
37,Data Analyst,Mid,Small,Australia,Part-time,50,2.0,53774.0
38,AI Engineer,Mid,Large,Australia,Full-time,100,2.0,88269.0
39,AI Engineer,Mid,Medium,Germany,Contract,100,5.0,69429.0
40,Data Scientist,Senior,Medium,Australia,Full-time,0,2.0,94606.0
41,Data Analyst,Entry,Medium,India,Contract,0,10.0,64478.0
42,Business Intelligence Analyst,Senior,Medium,USA,Contract,100,4.0,116076.0
43,Data Analyst,Mid,Large,UK,Full-time,50,3.0,73280.0
44,Business Intelligence Analyst,Mid,Large,Australia,Full-time,100,7.0,57366.0
45,Data Scientist,Mid,Small,USA,Contract,0,7.0,79427.0
46,Machine Learning Engineer,Mid,Medium,Australia,Part-time,50,13.0,118476.0
47,AI Engineer,Mid,Medium,UK,Full-time,50,9.0,90361.0
48,Data Scientist,Mid,Medium,Canada,Contract,0,2.0,50641.0
49,AI Engineer,Entry,Large,UK,Contract,100,5.0,45085.0
50,Data Engineer,Mid,Medium,UK,Part-time,100,12.0,119659.0
51,Machine Learning Engineer,Entry,Large,UK,Full-time,100,14.0,84050.0
52,Machine Learning Engineer,Mid,Medium,Australia,Contract,0,6.0,74553.0
53,Data Scientist,Mid,Medium,Germany,Part-time,50,6.0,88688.0
