job_title,experience_level,company_size,company_location,employment_type,remote_ratio,years_experience,salary_usd
AI Engineer,Mid,Medium,UK,Full-time,50,9.0,98156.0
Business Intelligence Analyst,Mid,Small,UK,Full-time,50,10.0,94402.0
Data Analyst,Senior,Small,USA,Full-time,0,7.0,125787.0
Business Intelligence Analyst,Senior,Medium,Canada,Full-time,0,12.0,154662.0
Business Intelligence Analyst,Mid,Large,Canada,Part-time,50,4.0,79811.0
Machine Learning Engineer,Entry,Medium,India,Full-time,0,3.0,30912.0
Data Analyst,Entry,Small,India,Contract,50,12.0,70394.0
Data Analyst,Entry,Large,Australia,Contract,0,8.0,64635.0
Data Analyst,Mid,Small,Australia,Full-time,0,8.0,83597.0
Business Intelligence Analyst,Mid,Large,India,Contract,100,0.0,50524.0
AI Engineer,Mid,Small,Australia,Full-time,50,1.0,45329.0
Data Analyst,Mid,Large,Germany,Contract,100,7.0,92156.0
Data Engineer,Entry,Large,India,Contract,100,4.0,
Business Intelligence Analyst,Mid,Small,Canada,Full-time,50,6.0,88171.0
Machine Learning Engineer,Entry,Large,Germany,Full-time,50,0.0,19815.0
AI Engineer,Mid,Medium,Australia,Part-time,0,11.0,
Data Engineer,Entry,Small,UK,Full-time,50,9.0,56848.0
Data Engineer,Senior,Medium,,Full-time,100,11.0,136561.0
Machine Learning Engineer,Entry,Small,India,Part-time,100,4.0,30773.0
AI Engineer,Executive,Large,UK,Full-time,50,10.0,177311.0
Business Intelligence Analyst,Mid,Large,Australia,Full-time,100,11.0,110203.0
Data Scientist,Senior,Large,Canada,Part-time,0,,108187.0
AI Engineer,Mid,Small,,Full-time,100,,94290.0
Machine Learning Engineer,Senior,Medium,UK,Full-time,0,11.0,
Data Engineer,Senior,Medium,USA,Part-time,100,11.0,152131.0
Business Intelligence Analyst,Mid,Small,India,Part-time,0,13.0,108973.0
AI Engineer,Mid,Small,Australia,Contract,0,1.0,46615.0
Data Scientist,Mid,Medium,,Full-time,50,1.0,59550.0
Data Scientist,Mid,Medium,Australia,Contract,0,8.0,90494.0
Data Analyst,Entry,Medium,USA,Contract,50,12.0,75506.0
